"Datteri, secchi",305
"Discoletto (Frollini alla marmellata)",499
"Dolcetti (Maddalena)",346
"Doppia panna, pastorizzata",468
"Dulce de Leche",299
"Energy drink, con zucchero",44
"Erba cipollina, fresca",30
"Espresso, con cremino (non zuccherato)",28
"Fagioli di soia, secchi",399
"Fagiolini verdi secchi, messi a bagno, cotti al vapore",63
"Fagiolini verdi, al vapore (senza sale)",32
"Fagiolini verdi, secchi",252
"Fagiolino verde, crudo",31
"Fagiolo comune (tutti tipi), seme mature, secco",305
"Fagiolo comune (tutti tipi), seme mature, cotto (senza grassi)",111
"Fagiolo di soia, cotto (senza grassi)",157
"Falafel, fritto (in olio di colza HOLL)",222
"Farina (media)",343
"Farina bianca (media)",344
"Farina di frumento (bianca) tipo 400",346
"Farina di frumento (bianca) tipo 550",344
"Farina di frumento (bigia) tipo 1100",339
"Farina di frumento (integrale) tipo 1700",338
"Farina di frumento (semibianca) tipo 720",340
"Farina di grano saraceno",348
"Farina di segale tipo 1050",336
"Farina di segale tipo 815",334
"Farina di segale, integrale, cruschello tipo 1800",337
"Farina di soia integrale (intera)",398
"Farina di soia, sgrassata",296
"Farina di spelta bianca tipo 550",348
"Farina di spelta integrale tipo 1900",346
"Farina di spelta tipo 1100",348
"Farina per knîpfli",351
"Fecola di mais",354
"Fecola di patate",336
"Fegato (media: vitello, manzo, maiale), crudo",134
"Fegato (media), cotto in padella (senza grassi)",157
"Fetta di semolino, preparato (con latte intero)",152
"Fetta di semolino, preparato (con latte parz. scremato)",143
"Fette di melanzana, impanate, preparate",138
"Fette di sedano rapa, impanate, preparate",136
"Fette di zucca, impanate, preparate",139
"Fette di zucchina, impanate, preparate",127
"Fettina (media: vitello, manzo, maiale, pollo), cruda",113
"Fettina (media), cotta in padella (senza grassi)",145
"Fettina (media), impanata e preparata",233
"Fichi, secchi",273
"Fico, crudo",74
"Finocchio, al vapore",22
"Finocchio, crudo",23
"Fiocchi di avena",381
"Fiocchi di cereali (media)",348
"Fiocchi di frumento, integrali",335
"Fiocchi di miglio, integrali",360
"Fiocchi di orzo",333
"Fiocchi di patate (purea istantanea)",365
"Flammkuchen, cotto nel forno",254
"FleischkÑse (pasticcio di carne)",256
"Fondue classico, preparato",315
"Fondue moitiÇ-moitiÇ, preparato",291
"Fondue senza alcool, preparato",283
"Formaggio a pasta dura/semi dura, grasso (media)",397
"Formaggio a pasta molle (media senza sgrassati)",325
"Formaggio alle erbe glaronese",132
"Formaggio Appenzeller, grasso",384
"Formaggio Appenzeller, un quarto grasso",235
"Formaggio blu (media)",360
"Formaggio Brie, panna",342
"Formaggio Brie, grasso",298
"Formaggio Camembert, panna",355
"Formaggio Camembert, grasso",297
"Formaggio Camembert, semigrasso",188
"Formaggio dei alpi di Berna",453
"Formaggio Emmentaler grasso",408
"Formaggio fresco granulato, naturale",100
"Formaggio fresco, doppia panna",351
"Formaggio fuso a fette, panna",327
"Formaggio fuso a fette, latte intero",316
"Formaggio fuso a fette, un quarto grasso",155
"Formaggio fuso da spalmare, panna",316
"Formaggio fuso da spalmare, latte intero",247
"Formaggio fuso da spalmare, un quarto grasso",150
"Formaggio grattugiato",406
"Formaggio Gruyäre, grasso",396
"Formaggio in salamoia (latte di mucca)",256
"Formaggio in salamoia (latte di pecora e capra)",242
"Formaggio Limburger/MÅnster",273
"Formaggio maturato pasta molle, panna",347
"Formaggio maturato pasta molle, grasso",296
"Formaggio morbido, doppia panna",376
"Formaggio Raclette",357
"Formaggio Reblochon",307
"Formaggio Roquefort",363
"Formaggio Sbrinz",415
"Formaggio St. Paulin",294
"Formaggio Tàte de Moine",417
"Formaggio Tilsiter latte crudo, grasso",376
"Formaggio Tilsiter latte pastorizzato, grasso",351
"Formaggio Vacherin Mont d'Or",279
"Formentino, crudo",23
"Fotzelschnitte non zuccherato",222
"Fragola, cruda",40
"Frollini",474
"Frumento (grano tenero), chicco intero",327
"Frutta (media), cotta (senza zucchero)",52
"Frutta (media), cruda",57
"Frutta (media), secca",280
"Frutto della passione, crudo",92
"Funghi (media), cotti (senza grassi)",34
"Funghi (media), crudi",29
"Funghi prataioli, conserva",19
"Fungo porcino, crudo",39
"Fungo porcino, stufato (senza grassi)",46
"Galletta di riso integrale",390
"Gallinaccio, crudo",24
"Gallinaccio, stufato (senza grassi)",28
"Gambero, cotto",46
"Gambero, crudo",56
"Gelato alla panna, gusto frutta",185
"Germe di frumento",375
"Germogli di soia, crudi",55
"Ghiacciolo",88
"Gorgonzola",357
"Grano saraceno, sgusciato",346
"Granotto, cotto",163
"Grasso di cocco",894
"Grasso di palma - Olio di palma",799
"Gratin di verdura",58
"GrittibÑnz (pane dolce)",329
"Halibut, crudo",118
"Hamburger (manzo), cotto in olio di colza HOLL",187
"Hamburger di pesce",262
"Hamburger di pollo",247
"Hamburger, doppio",258
"Hot Dog in pane bianco con ketchup e senape",216
"Hummus",204
"Impasto fermentato",199
"Indivia riccia/scarola, cruda",16
"Insalata al tonno (salamoia) con salsa aceto-olio",109
"Insalata belga, cruda",14
"Insalata Coleslaw, preparata",120
"Insalata di bollito, preparata",201
"Insalata di cervelat e formaggio, preparata",262
"Insalata di cervelat, preparata",224
"Insalata di pasta con salsa francese",128
"Insalata di pasta con salsa italiana",130
"Insalata di patate (salsa di maionese e yogurt)",80
"Insalata di patate con salsa aceto-olio",96
"Insalata russa, preparata",196
"Involtino primavera, fritto",224
"Kebab in piadina",123
"Ketchup",117
"Kiwi, crudo",54
"Lampone, crudo",52
"LandjÑger (salamino affumicato)",491
"Lasagne di carne, preparata",141
"Lasagne di verdura, preparata",133
"Latte (media)",62
"Latte condensato, non zuccherato",131
"Latte condensato, zuccherato",339
"Latte di pecora, crudo",105
"Latte di capra",57
"Latte di cocco",214
"Latte intero, in polvere",480
"Latte intero, pastorizzato",68
"Latte intero, UHT",68
"Latte macchiato, non zuccherato",47
"Latte parzialmente scremato, pastorizzato",56
"Latte parzialmente scremato, UHT",57
"Latte scremato, in polvere",348
"Latte scremato, UHT",33
"Latte, semiscremato 1.5% gasso, UHT",46
"Latticello",34
"Lattuga cappuccio, cruda",14
"Lattuga ghiaccio, cruda",16
"Lattuga romana, cruda",16
"Lattughe (media), crude",18
"Leckerli di Basilea",412
"Legumi (media), cotti (senza grassi)",127
"Legumi (media), secchi",336
"Lemon Curd",320
"Lenticchia, decorticata, secca",334
"Lenticchie, decorticate, cotte (senza grassi)",134
"Lenticchie, intere, cotte (senza grassi)",115
"Lenticchie, intere, secche",324
"Lepre (media), cruda",115
"Lievito di birra, secco",354
"Lievito per pane, pressato",96
"Limonata con aromi, zuccherata",38
"Limone, crudo",23
"Lingua (media: vitello e manzo), cruda",188
"Lioner di pollo",205
"Liquore all'uovo, 16.5 vol%",313
"Lonza affumicata, cruda",155
"Luccio, crudo",81
"Luganiga",468
"Lumaca alle nocciole, pasta lievitata",445
"Maccheroni dell'alpigiano, preparati",180
"Macedonia di frutta, non zuccherata, conserva",44
"Macedonia di frutta, zuccherata, conserva",69
"Maiale, bistecca di collo, crudo",203
"Maiale, carne macinata, cruda",159
"Maiale, collo, bistecca, cotta in padella (senza grassi)",255
"Maiale, costine, crude",239
"Maiale, cotoletta, cotta in padella (senza grassi)",240
